Aristarchus  (8568,13946)  (8453,14060)  (8453,13945)  (8682,14061)  (8568,13831)  (8683,13831)  (8683,13946)  (8451,13830)  (8338,14165)  (8338,14050)  (8797,14061)  (8797,14176)  (8566,13716)  (8681,13716)  (8796,13716)  (8798,13831)  (8798,13946)  (8336,13935)  (8336,13820)  (8451,13715)  (8326,13705)  (8911,13691)  (8223,14182)  (8223,14067)  (8912,14061)  (8913,13806)  (8913,13921)  (8221,13952)  (8221,13837)  (8211,13722)  | overflowToLeft=false
Space Zone 2  (3447,96)  (3332,180)  (3332,65)  (3562,0)  (3562,115)  (3217,191)  (3217,76)  (3677,0)  (3677,115)  (3102,203)  (3102,88)  (3792,33)  (2987,213)  (2987,98)  (3907,100)  (3990,215)  (4001,330)  (4013,445)  (2872,224)  (4024,560)  (4035,675)  (4105,214)  (4116,329)  (4128,444)  (4139,559)  (4090,790)  (4150,674)  (3975,825)  (3860,837)  (3745,848)  (4231,287)  (4243,402)  (4254,517)  (3928,952)  (4358,360)  (4369,475)  | overflowToLeft=false
Mare Vaporum  (9497,13806)  (9382,13920)  (9382,13805)  (9611,13921)  (9497,13691)  (9612,13691)  (9612,13806)  (9380,13690)  (9496,14035)  (9381,14035)  (9267,13920)  (9267,13805)  (9726,13921)  (9726,14036)  (9611,14036)  (9266,14036)  (9495,13576)  (9610,13576)  (9725,13576)  (9727,13691)  (9727,13806)  (9265,13690)  (9265,13575)  (9380,13575)  (9840,13463)  (9496,14150)  (9381,14150)  (9152,13921)  (9152,13806)  (9784,14151)  (9669,14151)  (9266,14151)  (9151,14151)  (9151,14036)  (9495,13461)  (9610,13461)  (9725,13461)  (9842,13578)  (9842,13693)  (9842,13808)  (9150,13691)  (9150,13576)  (9150,13461)  (9265,13460)  (9380,13460)  (9554,14265)  (9439,14265)  (9749,14266)  (9324,14266)  (9209,14266)  (9495,13346)  (9610,13346)  (9725,13346)  | overflowToLeft=false
Space Zone 9  (3250,3009)  (3135,3123)  (3135,3008)  (3364,3124)  (3250,2894)  (3365,2894)  (3365,3009)  (3133,2893)  (3159,3238)  (3044,3238)  (3020,3123)  (3020,3008)  (3479,3124)  (3248,2779)  (3363,2779)  (3478,2779)  (3480,2894)  (3480,3009)  (3018,2893)  (2929,3304)  (3593,2744)  (2905,3189)  (2905,3074)  (3594,3124)  (3595,2859)  (3595,2974)  (2903,2959)  (2903,2844)  (2814,3345)  (3708,2733)  (2790,3230)  (2790,3115)  (3709,3089)  (3710,2848)  (3710,2963)  (2788,3000)  (2788,2885)  (2699,3392)  (3823,2722)  (2675,3277)  (2675,3162)  (3824,3078)  (3825,2837)  (3825,2952)  (2673,3047)  (2673,2932)  (2584,3447)  (2560,3332)  (2560,3217)  (3939,3067)  (3939,3182)  | overflowToLeft=false
Space Zone 8  (4197,2071)  (4082,2185)  (4082,2070)  (4311,2186)  (4197,1956)  (4312,1956)  (4312,2071)  (4080,1955)  (4196,2300)  (4081,2300)  (3967,2185)  (3967,2070)  (4426,2186)  (4426,2301)  (4311,2301)  (3966,2301)  (4195,1841)  (4310,1841)  (4425,1841)  (4427,1956)  (4427,2071)  (3965,1955)  (3965,1840)  (4080,1840)  (4540,1728)  (4196,2415)  (4081,2415)  (3852,2186)  (3852,2071)  (4541,2186)  (4541,2301)  (4541,2416)  (4426,2416)  (4311,2416)  (3966,2416)  (3851,2416)  (3851,2301)  (4542,1843)  (4542,1958)  (3850,1956)  (3850,1841)  (4655,1706)  (4196,2530)  (4081,2530)  (4656,2073)  (4656,2188)  (4656,2303)  (4546,2531)  (4431,2531)  (4316,2531)  (3966,2531)  | overflowToLeft=false
Space Zone 7  (1814,2197)  (1699,2311)  (1699,2196)  (1928,2312)  (1814,2082)  (1929,2082)  (1929,2197)  (1697,2081)  (1813,2426)  (1698,2426)  (1584,2311)  (1584,2196)  (2043,2312)  (2043,2427)  (1928,2427)  (1583,2427)  (1837,1967)  (1952,1967)  (2044,2082)  (2044,2197)  (1582,2081)  (1582,1966)  (2067,1945)  (1813,2541)  (1698,2541)  (1469,2312)  (1469,2197)  (2158,2312)  (2158,2427)  (2158,2542)  (2043,2542)  (1928,2542)  (1583,2542)  (1468,2542)  (1468,2427)  (2159,2060)  (2159,2175)  (1467,2082)  (1467,1967)  (1467,1852)  (1582,1851)  (2182,1934)  (1813,2656)  (1698,2656)  (1354,2312)  (1354,2197)  (2273,2290)  (2273,2405)  (2273,2520)  (2223,2657)  (2108,2657)  (1993,2657)  (1583,2657)  (1468,2657)  (1353,2657)  (1353,2542)  (1353,2427)  (1353,1737)  | overflowToLeft=false
Space Zone 6  (4798,932)  (4683,995)  (4683,880)  (4912,1047)  (4798,817)  (4913,817)  (4913,932)  (4630,765)  (4568,1007)  (4568,892)  (5027,1047)  (5027,1162)  (4912,1162)  (4745,702)  (4860,702)  (5028,747)  (5028,862)  (4515,777)  (4515,662)  (4630,650)  (4453,1018)  (4453,903)  (5142,977)  (5142,1092)  (5142,1207)  (5027,1277)  (4912,1277)  (4745,587)  (5143,813)  (5175,1322)  (4400,788)  (4589,535)  (4338,1029)  (4338,914)  (5060,1392)  (4945,1392)  (4223,1040)  (4223,925)  (5131,1507)  (5016,1507)  (4901,1507)  (4108,1052)  (5096,1622)  (4981,1622)  | overflowToLeft=false
Hellas 2  (16667,17663)  (16552,17777)  (16552,17662)  (16781,17778)  (16667,17548)  (16782,17548)  (16782,17663)  (16550,17547)  (16437,17764)  (16814,17893)  (16665,17433)  (16897,17520)  (16897,17635)  (16435,17649)  (16508,17432)  | overflowToLeft=false
Hellas 1  (16080,17416)  (15965,17530)  (15965,17415)  (16194,17531)  (16080,17301)  (16195,17301)  (16195,17416)  (15963,17300)  (15850,17498)  (16236,17646)  (16078,17186)  (16310,17253)  (16310,17368)  (16310,17483)  (15948,17185)  | overflowToLeft=false
Finland  (18209,171)  (18094,235)  (18165,56)  (18280,56)  (18324,171)  | overflowToLeft=false
East Africa  (18430,4656)  (18315,4770)  (18315,4655)  (18472,4771)  (18430,4541)  (18545,4595)  (18587,4710)  | overflowToLeft=false
Inner Granada  (7458,14539)  (7343,14653)  (7343,14538)  (7572,14654)  (7458,14424)  (7573,14424)  (7573,14539)  (7341,14423)  (7457,14768)  (7342,14768)  (7228,14653)  (7228,14538)  (7687,14654)  (7687,14769)  (7572,14769)  (7456,14309)  (7571,14309)  (7686,14309)  (7688,14424)  (7688,14539)  (7226,14423)  (7226,14308)  (7341,14308)  (7113,14579)  (7802,14654)  (7802,14769)  (7802,14884)  (7687,14884)  (7572,14884)  (7803,14343)  (7803,14458)  (7111,14464)  (7111,14349)  (7111,14234)  (7917,14573)  (7917,14688)  (7917,14803)  (7917,14918)  (7802,14999)  (7918,14444)  (6996,14526)  (6996,14411)  (6996,14296)  (8032,14655)  (6881,14478)  (6881,14363)  | overflowToLeft=false
Quintzem 2  (2788,18047)  (2673,18161)  (2673,18046)  (2902,18162)  (2788,17932)  (2903,17932)  (2903,18047)  (2671,17931)  (2787,18276)  (2558,18146)  (2786,17817)  (3018,17952)  (3018,18067)  | overflowToLeft=false
Quintzem 1  (3206,17565)  (3091,17679)  (3091,17564)  (3320,17680)  (3206,17450)  (3321,17450)  (3321,17565)  (3089,17449)  (3205,17794)  (2976,17698)  (2976,17583)  (3204,17335)  (3436,17481)  (3436,17596)  | overflowToLeft=false
Scandinavia  (17517,210)  (17402,294)  (17631,325)  (17604,95)  (17632,210)  (17719,8)  (17834,0)  | overflowToLeft=false
Von Braun North  (8483,12036)  (8368,12150)  (8368,12035)  (8597,12151)  (8483,11921)  (8598,11921)  (8598,12036)  (8366,11920)  (8482,12265)  (8253,12181)  (8253,12066)  (8712,12151)  (8712,12266)  (8597,12266)  (8481,11806)  (8596,11806)  (8713,11846)  (8713,11961)  (8251,11951)  (8251,11836)  (8366,11805)  (8167,11721)  (8138,12125)  (8827,12076)  (8827,12191)  (8827,12306)  (8712,12381)  (8597,12381)  (8828,11910)  (8136,12010)  (8136,11895)  (8282,11690)  (8052,11780)  (8052,11665)  (8942,12025)  (8942,12140)  (8021,12087)  (8021,11972)  (9057,12067)  | overflowToLeft=false
Mare Crisium  (7865,13219)  (7750,13333)  (7750,13218)  (7979,13334)  (7865,13104)  (7980,13104)  (7980,13219)  (7748,13103)  (7635,13388)  (7635,13273)  (8094,13334)  (8094,13449)  (7979,13449)  (7863,12989)  (8095,13067)  (8095,13182)  (7633,13158)  (7686,12988)  (7520,13377)  (7518,13262)  | overflowToLeft=false
Caucasus Landing Zone  (19004,946)  (18889,1060)  (18944,831)  (19059,831)  (19119,946)  (19174,776)  (18977,1175)  (18774,1116)  (19234,891)  (19289,691)  | overflowToLeft=false
Augusta Base  (13168,1725)  (13053,1835)  (13053,1720)  (13276,1840)  (13168,1610)  (13283,1610)  (13283,1725)  (13047,1605)  (12938,1842)  (13398,1574)  | overflowToLeft=false
Eastern China  (22167,1759)  (22254,1874)  (22139,1874)  (22075,1644)  (22190,1644)  (22255,1989)  (22030,1529)  | overflowToLeft=false
Jaburo  (14434,4027)  (14319,4141)  (14319,4026)  (14548,4142)  (14434,3912)  (14549,3912)  (14549,4027)  (14317,3911)  (14433,4256)  (14204,4079)  (14432,3797)  (14547,3797)  (14664,3873)  (14664,3988)  (14664,4103)  (14202,3964)  (14256,3796)  (14371,3682)  (14250,3681)  | overflowToLeft=false
Torrington Base  (23604,5082)  (23489,5133)  (23639,4967)  | overflowToLeft=false
Space Zone 163  (23010,16044)  (22895,16158)  (22895,16043)  (23124,16159)  (23010,15929)  (23125,15929)  (23125,16044)  (22893,15928)  (23009,16273)  (22894,16273)  (22780,16158)  (22780,16043)  (23239,16159)  (23142,16274)  (22779,16274)  (23240,15873)  (23240,15988)  (22778,15928)  (22778,15813)  (22665,16159)  (22665,16044)  (23354,16103)  (23354,16218)  (22664,16326)  (23355,15904)  (22663,15929)  (22550,16211)  (22550,16096)  (23469,16019)  (22548,15981)  (22548,15866)  (22433,15904)  | overflowToLeft=false
Space Zone 164  (24081,16637)  (23966,16751)  (23966,16636)  (24195,16752)  (24081,16522)  (24196,16522)  (24196,16637)  (23964,16521)  (24080,16866)  (23965,16866)  (23851,16751)  (23851,16636)  (24310,16752)  (24310,16867)  (24195,16867)  (23850,16867)  (24079,16407)  (24194,16407)  (24311,16462)  (24311,16577)  (23849,16521)  (23849,16406)  (23964,16406)  (24080,16981)  (23965,16981)  (23736,16705)  (24425,16692)  (24425,16807)  (24425,16922)  (24310,16982)  (24195,16982)  (24079,16292)  (23734,16590)  (23734,16475)  (23734,16360)  (23849,16291)  (23964,16291)  (23688,16245)  (23998,17096)  (24540,16720)  (24540,16835)  (24540,16950)  (23619,16542)  (23619,16427)  (23803,16176)  (23918,16176)  (23573,16312)  (23642,16130)  (24655,16885)  | overflowToLeft=false
Space Zone 165  (20740,18419)  (20625,18533)  (20625,18418)  (20854,18534)  (20740,18304)  (20855,18304)  (20855,18419)  (20623,18303)  (20739,18648)  (20624,18648)  (20961,18649)  (20738,18189)  (20853,18189)  (20968,18189)  (20970,18304)  (20970,18419)  (20514,18188)  (21083,18076)  (20846,18763)  (20731,18763)  (21043,18764)  (20629,18074)  (20744,18074)  (20859,18074)  (21085,18191)  (21085,18306)  (21085,18421)  (20508,18073)  (20974,17961)  (21198,18009)  (20928,18878)  (20813,18878)  (20698,18878)  (21125,18879)  (20623,17959)  (20738,17959)  (20853,17959)  (21200,18124)  (21200,18239)  (21010,18993)  (20895,18993)  (20780,18993)  (21207,18994)  (20524,17844)  (21315,18040)  (21315,18155)  (21092,19108)  (20977,19108)  (20862,19108)  (21430,18071)  (20989,19223)  (20874,19223)  | overflowToLeft=false
Space Zone 166  (22099,17581)  (21984,17695)  (21984,17580)  (22213,17696)  (22099,17466)  (22214,17466)  (22214,17581)  (21982,17465)  (22098,17810)  (21944,17810)  (21869,17695)  (21869,17580)  (22328,17696)  (22328,17811)  (22213,17811)  (22097,17351)  (22212,17351)  (22327,17351)  (22329,17466)  (22329,17581)  (21867,17465)  (21867,17350)  (21982,17350)  (21829,17850)  (22442,17314)  (21754,17735)  (21754,17620)  (22443,17696)  (22443,17811)  (22354,17926)  (22239,17926)  (22444,17429)  (22444,17544)  (21752,17505)  (21752,17390)  (21752,17275)  (21726,17965)  (21714,17850)  (21639,17735)  (21639,17620)  (22558,17659)  (22559,17478)  (21599,17961)  | overflowToLeft=false
Space Zone 160  (19977,17566)  (19862,17680)  (19862,17565)  (20091,17681)  (19977,17451)  (20092,17451)  (20092,17566)  (19860,17450)  (19976,17795)  (19861,17795)  (19747,17680)  (19747,17565)  (20206,17681)  (20206,17796)  (20091,17796)  (19746,17796)  (19975,17336)  (20090,17336)  (20205,17336)  (20207,17451)  (20207,17566)  (19745,17450)  (19745,17335)  (19860,17335)  (20320,17223)  (19976,17910)  (19861,17910)  (19632,17681)  (19632,17566)  (20321,17681)  (20321,17796)  (20321,17911)  (20206,17911)  (20091,17911)  (19746,17911)  (19631,17911)  (19631,17796)  (19975,17221)  (20090,17221)  (20205,17221)  (20322,17338)  (20322,17453)  (19630,17451)  (19630,17336)  (19630,17221)  (19745,17220)  (19860,17220)  (20320,17108)  (20435,17108)  (20435,17223)  (19976,18025)  (19861,18025)  | overflowToLeft=false
West Australia  (22263,4795)  (22148,4909)  (22148,4794)  (22320,4910)  (22308,4680)  (22378,4795)  (22423,4639)  | overflowToLeft=false
Space Zone 161  (21130,17186)  (21015,17300)  (21015,17185)  (21244,17301)  (21130,17071)  (21245,17071)  (21245,17186)  (21013,17070)  (21129,17415)  (21014,17415)  (20900,17300)  (20900,17185)  (21359,17301)  (21359,17416)  (21244,17416)  (20899,17416)  (21128,16956)  (21243,16956)  (21358,16956)  (21360,17071)  (21360,17186)  (20898,17070)  (20898,16955)  (21013,16955)  (21473,16843)  (21129,17530)  (21014,17530)  (20785,17301)  (20785,17186)  (21474,17301)  (21474,17416)  (21474,17531)  (21359,17531)  (21244,17531)  (20899,17531)  (20784,17531)  (20784,17416)  (21128,16841)  (21243,16841)  (21358,16841)  (21475,16958)  (21475,17073)  (20783,17071)  (20894,16840)  (21009,16840)  (21129,17645)  (21014,17645)  (20670,17301)  (21448,17646)  (21333,17646)  (20899,17646)  (20784,17646)  (20669,17646)  (20669,17531)  (20669,17416)  | overflowToLeft=false
Space Zone 162  (21834,16317)  (21719,16431)  (21719,16316)  (21948,16432)  (21834,16202)  (21949,16202)  (21949,16317)  (21717,16201)  (21833,16546)  (21718,16546)  (21604,16431)  (21604,16316)  (22063,16432)  (22063,16547)  (21948,16547)  (21603,16547)  (21832,16087)  (21947,16087)  (22062,16087)  (22064,16202)  (22064,16317)  (21602,16201)  (22177,15974)  (21833,16661)  (21718,16661)  (21489,16432)  (21489,16317)  (22178,16432)  (21603,16662)  (21488,16626)  (21965,15972)  (22179,16089)  (22179,16204)  (22292,15966)  (21374,16511)  (21374,16396)  (22293,16319)  (22293,16434)  (22294,16081)  (22294,16196)  (21259,16494)  (22408,16325)  | overflowToLeft=false
Malaysia  (21434,3047)  (21476,3162)  (21359,2932)  (21549,3019)  | overflowToLeft=false
Caribbean Islands  (13585,2339)  (13470,2337)  (13699,2454)  (13700,2244)  | overflowToLeft=false
Space Zone 167  (22484,16796)  (22369,16910)  (22369,16795)  (22598,16911)  (22484,16681)  (22599,16681)  (22599,16796)  (22367,16680)  (22483,17025)  (22368,17025)  (22254,16910)  (22254,16795)  (22253,17026)  (22482,16566)  (22597,16566)  (22712,16566)  (22714,16681)  (22714,16796)  (22252,16680)  (22827,16453)  (22139,16911)  (22139,16796)  (22138,17133)  (22829,16568)  (22829,16683)  (22829,16798)  (22942,16432)  (22024,17018)  (22024,16903)  (22023,17133)  (22944,16547)  (22944,16662)  (23057,16420)  (21909,17018)  (21909,16903)  (21908,17133)  (23059,16535)  (23172,16407)  (21794,17018)  (21793,17133)  (23174,16522)  (23287,16394)  | overflowToLeft=false
Space Zone 168  (23694,17506)  (23579,17620)  (23579,17505)  (23808,17621)  (23694,17391)  (23809,17391)  (23809,17506)  (23577,17390)  (23693,17735)  (23578,17735)  (23464,17620)  (23464,17505)  (23923,17621)  (23923,17736)  (23808,17736)  (23692,17276)  (23807,17276)  (23922,17276)  (23924,17391)  (23924,17506)  (23462,17390)  (23462,17275)  (23577,17275)  (24037,17240)  (23693,17850)  (23349,17596)  (24038,17621)  (24038,17736)  (24038,17851)  (23923,17851)  (23808,17851)  (23692,17161)  (24039,17355)  (24039,17470)  (23347,17481)  (23347,17366)  (24110,17966)  (23995,17966)  (23880,17966)  (23765,17966)  (23232,17455)  (24110,18081)  (23995,18081)  (23880,18081)  (23914,18196)  | overflowToLeft=false
Space Zone 169  (24663,17529)  (24548,17643)  (24548,17528)  (24777,17644)  (24663,17414)  (24778,17414)  (24778,17529)  (24546,17413)  (24662,17758)  (24547,17758)  (24433,17643)  (24433,17528)  (24885,17759)  (24432,17759)  (24661,17299)  (24776,17299)  (24431,17413)  (24431,17298)  (24546,17298)  (24770,17873)  (24655,17873)  (24318,17644)  (24318,17529)  (24885,17874)  (24540,17874)  (24425,17874)  (24317,17759)  (24661,17184)  (24776,17184)  (24316,17414)  (24316,17299)  (24316,17184)  (24431,17183)  (24546,17183)  (24310,17881)  (24770,17988)  (24655,17988)  (24885,17989)  (24540,17989)  (24425,17989)  (24675,17069)  (24310,17996)  (24770,18103)  (24655,18103)  (24885,18104)  (24540,18104)  (24425,18104)  (24310,18111)  (24770,18218)  (24655,18218)  (24885,18219)  | overflowToLeft=false
Sulawesi  (22314,3701)  (22199,3815)  (22410,3816)  (22250,3586)  (22365,3586)  (22429,3701)  | overflowToLeft=false
Brazil  (14987,4232)  (15101,4347)  (14986,4347)  (14981,4117)  (15096,4117)  (15102,4232)  (14871,4375)  (15211,4008)  (15133,4462)  (15018,4462)  (14983,4002)  (14756,4474)  (14903,4490)  (15098,3893)  (15213,3893)  (15328,3891)  (15091,4577)  (14641,4577)  (14978,3887)  (14788,4589)  (14976,4605)  (15093,3778)  (14673,4692)  (14558,4692)  (14526,4577)  (14947,3772)  (14861,4704)  (14746,4807)  | overflowToLeft=false
Space Zone 174  (23396,19223)  (23281,19337)  (23281,19222)  (23510,19338)  (23396,19108)  (23511,19108)  (23511,19223)  (23279,19107)  (23395,19452)  (23280,19452)  (23166,19337)  (23166,19222)  (23625,19338)  (23625,19453)  (23510,19453)  (23165,19453)  (23394,18993)  (23509,18993)  (23624,18993)  (23626,19108)  (23626,19223)  (23164,19107)  (23179,18992)  (23395,19567)  (23280,19567)  (23051,19338)  (23051,19223)  (23740,19338)  (23564,19568)  (23165,19568)  (23050,19550)  (23338,18878)  (23453,18878)  (23568,18878)  (23741,19001)  (23741,19116)  (23049,19108)  (23449,19682)  (23334,19682)  (22936,19353)  (22936,19238)  (23855,19231)  (23219,19683)  (23856,19109)  (23335,19797)  (23220,19798)  | overflowToLeft=false
Space Zone 175  (24102,18566)  (23987,18680)  (23987,18565)  (24216,18681)  (24102,18451)  (24217,18451)  (24217,18566)  (23985,18450)  (24101,18795)  (23986,18795)  (23872,18680)  (23872,18565)  (24331,18681)  (24273,18796)  (23871,18796)  (24100,18336)  (24215,18336)  (24330,18336)  (24332,18451)  (24332,18566)  (24445,18317)  (24158,18910)  (24043,18910)  (23757,18681)  (23928,18911)  (24447,18432)  (24447,18547)  (24085,19025)  (23642,18673)  (24562,18349)  | overflowToLeft=false
Aires City  (9169,14684)  (9054,14798)  (9054,14683)  (9283,14799)  (9169,14569)  (9284,14569)  (9284,14684)  (9052,14568)  (9168,14913)  (9053,14913)  (8939,14798)  (8939,14683)  (9398,14799)  (9395,14914)  (9167,14454)  (9282,14454)  (9399,14467)  (9399,14582)  (8937,14568)  (8937,14453)  (9052,14453)  (9280,15028)  (9165,15028)  (9513,14697)  (9514,14504)  (8822,14453)  (8822,14338)  (8937,14338)  | overflowToLeft=false
Space Zone 176  (23991,19688)  (23876,19802)  (23876,19687)  (24105,19803)  (23991,19573)  (24106,19573)  (24106,19688)  (23874,19572)  (23761,19885)  (23761,19770)  (23989,19458)  (24104,19458)  (24219,19458)  (24221,19573)  (24221,19688)  (23759,19655)  (24334,19368)  (23646,19885)  (23646,19770)  (24033,19343)  (24148,19343)  (24336,19483)  (24336,19598)  (23531,19885)  (24140,19228)  (24451,19485)  | overflowToLeft=false
Space Zone 177  (24681,18795)  (24566,18909)  (24566,18794)  (24795,18910)  (24681,18680)  (24796,18680)  (24796,18795)  (24680,19024)  (24565,19024)  (24451,18909)  (24450,19025)  (24684,18565)  (24799,18565)  (24716,19139)  (24601,19139)  (24486,19140)  (24371,19140)  (24335,19025)  (24778,18450)  (24647,19254)  (24532,19255)  | overflowToLeft=false
Space Zone 170  (21499,19499)  (21384,19613)  (21384,19498)  (21613,19614)  (21499,19384)  (21614,19384)  (21614,19499)  (21382,19383)  (21498,19728)  (21383,19728)  (21269,19613)  (21269,19498)  (21728,19614)  (21728,19729)  (21613,19729)  (21497,19269)  (21612,19269)  (21727,19269)  (21729,19384)  (21729,19499)  (21267,19383)  (21267,19268)  (21382,19268)  (21498,19843)  (21154,19609)  (21843,19614)  (21843,19729)  (21792,19844)  (21677,19844)  (21497,19154)  (21612,19154)  (21844,19340)  (21844,19455)  (21152,19494)  (21152,19379)  (21303,19153)  (21497,19039)  (21612,19039)  (21959,19493)  (21037,19478)  | overflowToLeft=false
Space Zone 171  (22266,18932)  (22151,19046)  (22151,18931)  (22380,19047)  (22266,18817)  (22381,18817)  (22381,18932)  (22149,18816)  (22265,19161)  (22150,19161)  (22036,19046)  (22036,18931)  (22495,19047)  (22495,19162)  (22380,19162)  (22035,19162)  (22264,18702)  (22379,18702)  (22494,18702)  (22496,18817)  (22496,18932)  (22034,18816)  (22034,18701)  (22149,18701)  (22265,19276)  (22150,19276)  (21921,19047)  (21921,18932)  (22610,19047)  (22035,19277)  (22264,18587)  (22379,18587)  (22611,18811)  (22611,18926)  (21919,18817)  (22130,18586)  (21806,19007)  (22725,19041)  (22129,19392)  (22289,18472)  (21804,18892)  | overflowToLeft=false
Space Zone 172  (22851,18028)  (22736,18142)  (22736,18027)  (22965,18143)  (22851,17913)  (22966,17913)  (22966,18028)  (22734,17912)  (22850,18257)  (22735,18257)  (22621,18142)  (22621,18027)  (23080,18143)  (22620,18258)  (22849,17798)  (22964,17798)  (23079,17798)  (23081,17913)  (23081,18028)  (22619,17912)  (22727,17797)  (23194,17685)  (22774,18372)  (22506,18143)  (22506,18028)  (22659,18373)  (22544,18373)  (22505,18258)  (22874,17683)  (22989,17683)  (23196,17800)  (23196,17915)  (23196,18030)  (23104,17570)  (22391,18143)  (23311,17818)  (23311,17933)  | overflowToLeft=false
